accession	accession_version	strain	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution
KU320957	KU320957.1	MY/U314/2012	2012-04-16	Asia	Malaysia			856	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320958	KU320958.1	MY/U449/2012	2012-05-07	Asia	Malaysia			856	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320959	KU320959.1	MY/U1021/2012	2012-08-22	Asia	Malaysia			856	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320960	KU320960.1	MY/U1109/2012	2012-09-05	Asia	Malaysia			856	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320961	KU320961.1	MY/U1219/2012	2012-09-28	Asia	Malaysia			855	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320962	KU320962.1	MY/U1239/2012	2012-10-04	Asia	Malaysia			889	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320963	KU320963.1	MY/U1601/2012	2012-12-03	Asia	Malaysia			881	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320964	KU320964.1	MY/U2125/2013	2013-03-11	Asia	Malaysia			856	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320965	KU320965.1	MY/U2329/2013	2013-04-22	Asia	Malaysia			856	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320966	KU320966.1	MY/U2472/2013	2013-06-05	Asia	Malaysia			802	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320967	KU320967.1	MY/U2514/2013	2013-06-17	Asia	Malaysia			856	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320968	KU320968.1	MY/U2953/2013	2013-10-25	Asia	Malaysia			862	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320969	KU320969.1	MY/U3123/2013	2013-11-25	Asia	Malaysia			856	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320970	KU320970.1	MY/U3126/2013	2013-11-27	Asia	Malaysia			856	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320971	KU320971.1	MY/U3206/2013	2013-12-11	Asia	Malaysia			889	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320972	KU320972.1	MY/U3417/2014	2014-01-24	Asia	Malaysia			889	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU320973	KU320973.1	MY/U3925/2014	2014-05-19	Asia	Malaysia			876	Homo sapiens		2016-06-22	2016-06-22		Chow,W.Z.,Chan,Y.F.,Oong,X.Y.,Ng,L.J.,Nor'E,S.S.,Ng,K.T.,Chan,K.G.,Hanafi,N.S.,Pang,Y.K.,Kamarulzaman,A.,Tee,K.K.,Chook,J.B.	Chow et al.	University of Malaya, Department of Medical Microbiology
KU375589	KU375589.1	HR343-14	2014-XX-XX	Europe	Croatia			473	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375590	KU375590.1	HR405-14	2014-XX-XX	Europe	Croatia			473	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375591	KU375591.1	HR425-14	2014-XX-XX	Europe	Croatia			473	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375592	KU375592.1	HR466-14	2014-XX-XX	Europe	Croatia			473	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375593	KU375593.1	HR9722-11	2011-XX-XX	Europe	Croatia			1463	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375594	KU375594.1	HR10432-11	2011-XX-XX	Europe	Croatia			1463	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375595	KU375595.1	HR18673-11	2011-XX-XX	Europe	Croatia			1464	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375596	KU375596.1	HR18786-11	2011-XX-XX	Europe	Croatia			1481	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375597	KU375597.1	HR19598-11	2011-XX-XX	Europe	Croatia			1463	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375598	KU375598.1	HR22-11	2011-XX-XX	Europe	Croatia			1481	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375599	KU375599.1	HR89-12	2012-XX-XX	Europe	Croatia			1496	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375600	KU375600.1	HR93-12	2012-XX-XX	Europe	Croatia			1487	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375601	KU375601.1	HR124-12	2012-XX-XX	Europe	Croatia			1495	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375602	KU375602.1	HR347-12	2012-XX-XX	Europe	Croatia			1462	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375603	KU375603.1	HR1806-12	2012-XX-XX	Europe	Croatia			1465	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375604	KU375604.1	HR1976-12	2012-XX-XX	Europe	Croatia			1462	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375605	KU375605.1	HR2152-12	2012-XX-XX	Europe	Croatia			1464	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375606	KU375606.1	HR475-13	2013-XX-XX	Europe	Croatia			1495	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375607	KU375607.1	HR1659-13	2013-XX-XX	Europe	Croatia			1495	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375608	KU375608.1	HR337-14	2014-XX-XX	Europe	Croatia			1495	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375609	KU375609.1	HR9722-11	2011-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375610	KU375610.1	HR10432-11	2011-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375611	KU375611.1	HR18637-11	2011-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375612	KU375612.1	HR18786-11	2011-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375613	KU375613.1	HR22-11	2011-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375614	KU375614.1	HR89-12	2012-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375615	KU375615.1	HR93-12	2012-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375616	KU375616.1	HR124-12	2012-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375617	KU375617.1	HR1806-12	2012-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375618	KU375618.1	HR2152-12	2012-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375619	KU375619.1	HR475-13	2013-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375620	KU375620.1	HR1659-13	2013-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375621	KU375621.1	HR337-14	2014-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375622	KU375622.1	HR19598-11	2011-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375623	KU375623.1	HR347-12	2012-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU375624	KU375624.1	HR1933-12	2012-XX-XX	Europe	Croatia			1644	Homo sapiens		2016-08-01	2016-08-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KU821121	KU821121.1	KU821121	2012-02-23	Asia	China	Beijing		13406	Homo sapiens		2016-09-28	2016-09-28		Guo,C.,Zhu,R.,Zhao,L.,Deng,J.,Wang,F.,Sun,Y.,Tian,R.,Qian,Y.	Guo et al.	Capital Institute of Pediatrics, Department of Virology
KX426266	KX426266.1	KX426266	2012-04-XX	Asia	India			648	Homo sapiens		2016-10-31	2016-10-31		Nandhini,G.,Sujatha,S.	Nandhini et al.	Jawaharlal Institute of Postgraduate Medical Education & Research (JIPMER), Microbiology
KX497048	KX497048.1	HR689-14	2014-XX-XX	Europe	Croatia			473	Homo sapiens		2017-01-01	2017-01-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KX497049	KX497049.1	HR920-14	2014-XX-XX	Europe	Croatia			473	Homo sapiens		2017-01-01	2017-01-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KX497050	KX497050.1	HR997-14	2014-XX-XX	Europe	Croatia			473	Homo sapiens		2017-01-01	2017-01-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KX497051	KX497051.1	HR397-15	2015-XX-XX	Europe	Croatia			473	Homo sapiens		2017-01-01	2017-01-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KX497052	KX497052.1	HR439-15	2015-XX-XX	Europe	Croatia			473	Homo sapiens		2017-01-01	2017-01-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KX497053	KX497053.1	HR547-15	2015-XX-XX	Europe	Croatia			473	Homo sapiens		2017-01-01	2017-01-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KX497054	KX497054.1	HR857-15	2015-XX-XX	Europe	Croatia			473	Homo sapiens		2017-01-01	2017-01-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KX497055	KX497055.1	HR900-15	2015-XX-XX	Europe	Croatia			473	Homo sapiens		2017-01-01	2017-01-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KX497056	KX497056.1	HR1127-15	2015-XX-XX	Europe	Croatia			473	Homo sapiens		2017-01-01	2017-01-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
KX497057	KX497057.1	HR894-15	2015-XX-XX	Europe	Croatia			473	Homo sapiens		2017-01-01	2017-01-01		Jagusic,M.,Slovic,A.,Forcic,D.,Ljubin Sternak,S.,Mlinaric-Galinovic,G.	Jagusic et al.	Centre for Research and Knowledge Transfer in Biotechnology, University of Zagreb, Laboratory for Molecular Biomedicine
